"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","html-keyboard-response","988","380202","0.0-3.0-3.242","","369","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNP"
"","","","","","image-keyboard-response","989","380405","0.0-3.0-0.243","","null","img_mproj/faces/6.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","990","380706","0.0-3.0-1.243","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","991","380909","0.0-3.0-2.243","","null","img_mproj/faces/6.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","992","381428","0.0-3.0-3.243","","518","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","993","381630","0.0-3.0-0.244","","null","img_mproj/french/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","994","381930","0.0-3.0-1.244","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","995","382133","0.0-3.0-2.244","","null","img_mproj/french/3.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","996","382893","0.0-3.0-3.244","","759","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNF"
"","","","","","image-keyboard-response","997","383095","0.0-3.0-0.245","","null","img_mproj/french/3.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","998","383397","0.0-3.0-1.245","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","999","383601","0.0-3.0-2.245","","null","img_mproj/french/3.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1000","384116","0.0-3.0-3.245","","515","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","image-keyboard-response","1001","384317","0.0-3.0-0.246","","null","img_mproj/false/6.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1002","384618","0.0-3.0-1.246","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
