"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","image-keyboard-response","755","509519","0.0-3.0-2.184","","null","img_mproj/french/4.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","756","509829","0.0-3.0-3.184","","309","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","image-keyboard-response","757","510033","0.0-3.0-0.185","","null","img_mproj/french/13.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","758","510342","0.0-3.0-1.185","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","759","510554","0.0-3.0-2.185","","null","img_mproj/Mfrench/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","760","511219","0.0-3.0-3.185","","665","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMF"
"","","","","","image-keyboard-response","761","511430","0.0-3.0-0.186","","null","img_mproj/false/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","762","511742","0.0-3.0-1.186","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","763","511944","0.0-3.0-2.186","","null","img_mproj/false/10.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","764","512515","0.0-3.0-3.186","","570","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNP"
"","","","","","image-keyboard-response","765","512730","0.0-3.0-0.187","","null","img_mproj/jap/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","766","513042","0.0-3.0-1.187","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","767","513244","0.0-3.0-2.187","","null","img_mproj/Mjap/10.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","768","513538","0.0-3.0-3.187","","293","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMJ"
"","","","","","image-keyboard-response","769","513748","0.0-3.0-0.188","","null","img_mproj/french/2.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","770","514059","0.0-3.0-1.188","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","771","514277","0.0-3.0-2.188","","null","img_mproj/Mfrench/2.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","772","515362","0.0-3.0-3.188","","1084","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","s","SMF"
"","","","","","image-keyboard-response","773","515575","0.0-3.0-0.189","","null","img_mproj/faces/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","774","515878","0.0-3.0-1.189","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","775","516081","0.0-3.0-2.189","","null","img_mproj/faces/10.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","776","516457","0.0-3.0-3.189","","376","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","777","516674","0.0-3.0-0.190","","null","img_mproj/tools/8.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","778","516987","0.0-3.0-1.190","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","779","517203","0.0-3.0-2.190","","null","img_mproj/tools/8.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","780","517401","0.0-3.0-3.190","","197","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNT"
